time,datetime,date,year,month,day,hour,close,high,low,open,volumefrom,volumeto
1722520800,2024-08-01 14:00:00,2024-08-01,2024,8,1,14,3141.67,3186.09,3141.59,3181.9,24437.47,77319486.12
1722524400,2024-08-01 15:00:00,2024-08-01,2024,8,1,15,3114.81,3144.86,3100.7,3141.67,36716.16,114556767.49
1722528000,2024-08-01 16:00:00,2024-08-01,2024,8,1,16,3105.08,3121.42,3089.23,3114.81,37558.08,116590170.82
1722531600,2024-08-01 17:00:00,2024-08-01,2024,8,1,17,3117.14,3117.73,3087.42,3105.08,31631.46,97992526.75
1722535200,2024-08-01 18:00:00,2024-08-01,2024,8,1,18,3088.88,3118.52,3077.63,3117.14,30249.99,93689811.5
1722538800,2024-08-01 19:00:00,2024-08-01,2024,8,1,19,3128.49,3132.86,3087.35,3088.88,27197.91,84751497.71
1722542400,2024-08-01 20:00:00,2024-08-01,2024,8,1,20,3168.03,3169.09,3118.87,3128.49,27252.18,85546488.46
1722546000,2024-08-01 21:00:00,2024-08-01,2024,8,1,21,3174.02,3182.96,3155.87,3168.03,13514.3,42814135.01
1722549600,2024-08-01 22:00:00,2024-08-01,2024,8,1,22,3206.26,3215.87,3171.06,3174.02,21552.91,68910683.88
1722553200,2024-08-01 23:00:00,2024-08-01,2024,8,1,23,3200.67,3212.67,3196.3,3206.26,12620.96,40448806.05
1722556800,2024-08-02 00:00:00,2024-08-02,2024,8,2,0,3191.75,3215.63,3191.64,3200.67,17104.71,54797718.29
1722560400,2024-08-02 01:00:00,2024-08-02,2024,8,2,1,3170.61,3191.85,3165.45,3191.75,18487.36,58738867.23
1722564000,2024-08-02 02:00:00,2024-08-02,2024,8,2,2,3156.79,3181.22,3134.07,3170.61,19673.99,62082162.6
1722567600,2024-08-02 03:00:00,2024-08-02,2024,8,2,3,3165.39,3168.1,3148.18,3156.79,12644.73,39965255.11
1722571200,2024-08-02 04:00:00,2024-08-02,2024,8,2,4,3165.07,3172.23,3159.16,3165.39,11272.47,35688349.68
1722574800,2024-08-02 05:00:00,2024-08-02,2024,8,2,5,3146.45,3165.76,3140.41,3165.07,12500.54,39420155.2
1722578400,2024-08-02 06:00:00,2024-08-02,2024,8,2,6,3152.93,3162.55,3124.82,3146.45,17300.67,54350036.02
1722582000,2024-08-02 07:00:00,2024-08-02,2024,8,2,7,3144.83,3155.39,3134.79,3152.93,15741.61,49529548.53
1722585600,2024-08-02 08:00:00,2024-08-02,2024,8,2,8,3157.08,3157.13,3131.84,3144.83,15456.96,48604537.72
1722589200,2024-08-02 09:00:00,2024-08-02,2024,8,2,9,3150.33,3160.13,3147.11,3157.08,9679.13,30506784.11
1722592800,2024-08-02 10:00:00,2024-08-02,2024,8,2,10,3156.37,3161.83,3142.55,3150.33,10241.46,32265837.16
1722596400,2024-08-02 11:00:00,2024-08-02,2024,8,2,11,3151.13,3164.39,3149.39,3156.37,10480.27,33078717.34
1722600000,2024-08-02 12:00:00,2024-08-02,2024,8,2,12,3151.17,3157.77,3119.76,3151.13,29010.01,91175716.84
1722603600,2024-08-02 13:00:00,2024-08-02,2024,8,2,13,3158.42,3180.01,3139.1,3151.17,27497.47,86793490.6
1722607200,2024-08-02 14:00:00,2024-08-02,2024,8,2,14,3035.85,3163.7,3030.22,3158.42,45234.55,140169146.76
1722610800,2024-08-02 15:00:00,2024-08-02,2024,8,2,15,3036.51,3044.46,2983.16,3035.85,57384.51,173062973.31
